AK-109,AK5C,AK-74,AKM,AKS74-U,AS VAL,AUG A1,SKS Auto,Famas-G2,G36k,G3A3,Galil,L85A2,M16A2,M4,SCAR-L,SG552,Stoner 63,VSS,Agram 2000,CX8 Storm,Vector 10mm,Vector 9mm,Luty,MAC-10,MAC-11,MAT-49,MP40,MP5,MP7,MP9,MPX JW,FNP90,PP-19 Bizon,PPSH,Thompson 1928,UMP45,UMP45 Reaper,BAR,XM250,M1A SASS,SKS,AWM,Mosin,Springfield,Hunter,C1911,Deagle,5-7,Glock 17,Makarov,Ruger,Tokarev,USP,JW 2011,JW G34,SVD,Barrett
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,180,110,220,150,120,190,300,230,160,174,126,210,108,356,114,160,200,300,120,90,1,1,0,1,1,0,2,0,3,4,6,8,2,3,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,300,165,165,200,160,114,400,345,160,116,126,210,108,267,171,160,200,200,120,90,1,1,0,1,1,0,3,0,2,4,3,9,2,2,4,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,400,180,110,165,150,120,114,300,230,240,116,189,210,108,267,114,160,300,500,120,90,1,1,0,1,1,0,2,0,2,3,3,10,2,2,3,5,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,180,110,275,200,160,190,400,230,160,116,126,280,108,267,114,160,500,400,120,90,1,1,0,1,1,0,3,0,2,3,5,8,2,3,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,240,110,220,150,120,152,400,230,160,116,126,210,108,267,114,160,200,200,120,90,1,1,0,1,1,0,3,0,2,3,4,8,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,240,110,330,150,120,152,400,230,320,116,189,210,108,267,114,160,200,300,120,90,1,1,0,1,1,0,3,0,3,4,4,9,2,2,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,480,180,220,165,150,160,114,300,230,240,116,126,420,108,267,114,400,200,200,120,90,1,1,0,1,1,0,2,0,2,3,4,9,3,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,180,110,165,150,120,114,500,345,240,116,189,280,108,534,114,160,200,300,120,90,1,1,0,1,1,0,2,0,2,3,3,8,2,2,3,5,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,400,240,165,330,300,120,114,300,460,160,116,189,280,216,267,114,160,200,200,120,90,1,1,0,1,1,0,2,0,3,3,3,8,3,2,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,300,165,220,150,160,114,300,345,160,174,126,210,162,356,114,160,200,300,120,90,1,1,0,1,1,0,2,0,2,3,3,7,2,2,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,330,330,200,160,114,300,345,160,116,189,280,108,356,114,160,200,400,120,90,1,1,0,1,1,0,2,0,3,3,5,7,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,165,200,120,152,300,230,160,116,126,420,162,267,114,160,300,200,120,90,1,1,0,1,1,0,3,0,4,3,3,7,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,300,110,165,150,120,190,300,460,240,116,189,210,108,267,114,160,200,200,120,90,1,1,0,1,1,0,2,0,2,4,3,8,2,3,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,480,180,165,275,250,120,152,500,230,160,116,126,420,108,267,114,160,200,200,120,90,1,1,0,1,1,0,2,0,2,4,4,7,2,3,5,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,360,220,165,150,200,114,300,230,160,116,126,280,108,267,114,160,200,200,120,90,1,1,0,1,1,0,2,0,3,5,3,9,2,2,5,7,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,300,110,165,150,120,114,400,230,160,116,126,210,108,356,114,160,200,300,120,90,1,1,0,1,1,0,2,0,2,5,4,7,2,3,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,165,150,160,114,400,460,320,116,189,210,108,356,171,160,200,200,120,90,1,1,0,1,1,0,2,1,4,5,8,9,3,2,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,400,180,110,220,150,120,152,300,230,320,116,126,210,108,267,171,320,300,400,120,90,1,1,0,1,1,0,2,0,2,4,4,8,2,2,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,275,150,120,114,300,230,240,116,126,280,108,267,114,240,300,200,120,90,1,1,0,1,1,0,3,0,2,4,6,12,2,2,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,300,220,165,150,160,152,300,230,160,116,126,280,162,356,114,160,200,200,120,90,1,1,0,1,1,0,2,0,2,4,3,9,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,165,150,120,114,300,345,160,116,126,280,108,356,171,160,200,300,120,90,1,1,0,1,1,0,3,0,4,4,3,8,2,3,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,330,165,150,120,152,300,345,160,174,126,280,108,267,114,240,200,300,120,90,1,1,0,1,1,0,2,0,2,4,3,7,2,3,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,165,150,160,152,300,345,240,116,189,280,108,356,114,160,400,200,120,90,1,1,0,1,1,0,2,0,2,4,3,8,2,2,3,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,220,150,120,114,400,345,160,116,126,280,108,356,114,240,200,300,120,90,1,1,0,1,1,0,2,0,2,4,3,8,2,3,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,220,150,160,114,400,345,160,116,126,280,108,356,114,400,200,300,120,90,1,1,0,1,1,0,3,0,2,3,3,7,2,2,3,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,300,110,165,150,120,114,300,230,480,116,126,280,108,267,114,160,300,300,120,90,1,1,0,1,1,0,3,0,2,4,4,7,2,2,3,5,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,275,200,120,114,400,345,240,174,252,210,108,445,114,160,400,300,120,90,1,1,0,1,1,0,2,0,2,4,5,10,2,3,5,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,165,150,160,228,600,230,160,116,126,210,108,267,114,160,200,200,120,90,1,1,0,1,1,0,2,0,2,4,4,10,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,300,165,165,150,120,114,500,345,160,116,126,210,108,356,114,160,200,200,120,90,1,1,0,1,1,0,2,0,2,4,4,13,2,5,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,220,165,200,200,228,400,230,240,116,126,280,108,445,114,240,200,200,120,90,1,1,0,1,1,0,5,0,3,5,6,8,3,3,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,220,200,160,152,400,345,160,116,126,350,108,267,228,240,200,200,120,90,1,1,0,1,1,0,3,0,2,3,3,7,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,180,110,220,150,160,190,300,460,240,116,126,350,108,267,114,240,200,400,120,90,1,1,0,1,1,0,3,0,2,3,3,9,2,3,2,6,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,220,200,160,228,300,345,160,116,189,210,108,356,114,160,200,200,120,90,1,1,0,1,1,0,2,0,2,4,3,8,2,2,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,165,220,250,160,114,300,690,160,116,126,210,108,445,114,160,200,200,120,90,1,1,0,1,1,0,2,1,2,3,3,8,2,2,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,240,165,275,150,160,152,400,345,240,116,126,280,108,356,114,160,400,200,120,90,1,1,0,1,1,0,2,0,2,4,3,7,2,4,3,5,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,180,220,330,200,120,152,300,230,240,116,189,280,108,267,114,160,300,200,120,90,1,1,0,1,1,0,4,0,2,3,4,9,3,2,6,5,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,165,165,150,160,114,400,230,160,116,252,210,108,267,114,160,200,200,120,90,1,1,0,1,1,0,4,1,2,4,4,7,2,2,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,220,165,150,120,266,300,230,240,116,126,350,162,267,114,160,300,300,120,90,1,1,0,1,1,0,2,0,2,4,4,8,2,3,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,165,220,200,120,114,300,230,160,116,126,210,108,267,114,240,500,200,120,90,1,1,0,1,1,0,2,0,2,5,3,8,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,240,165,165,150,120,114,400,345,240,116,252,210,162,267,114,240,200,300,120,90,1,1,0,1,1,0,3,0,2,3,4,8,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,165,200,120,152,300,460,160,174,126,350,108,445,171,400,200,300,120,90,1,1,0,1,1,0,3,0,2,5,3,7,3,2,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,165,200,200,114,300,345,240,116,189,420,108,267,114,160,200,200,120,90,1,1,0,1,1,0,2,0,2,4,3,8,2,5,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,180,110,165,200,120,152,400,230,240,116,126,210,108,445,114,160,300,200,120,90,1,1,0,1,1,0,3,0,2,3,4,9,2,3,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,180,110,165,150,160,114,300,230,160,174,189,280,108,267,114,240,200,200,120,90,1,1,0,1,1,0,2,2,2,3,5,7,3,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,165,275,150,120,152,400,230,160,116,126,280,108,356,114,320,300,200,120,90,1,1,0,1,1,0,2,0,2,3,3,10,2,3,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,180,165,165,150,160,114,300,230,160,116,189,210,108,267,114,320,200,400,120,90,1,1,0,1,1,0,2,0,2,5,4,8,2,4,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,165,220,150,120,114,300,345,160,116,126,210,108,267,114,160,200,200,120,90,1,1,0,1,1,0,2,0,2,3,3,10,3,4,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,180,220,220,150,120,152,300,230,160,116,189,210,108,267,114,320,200,200,120,90,1,1,0,1,1,0,2,1,2,5,4,9,2,2,4,6,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,800,240,165,385,200,160,152,300,575,400,116,126,210,108,267,114,560,300,300,120,90,1,1,0,1,1,0,2,0,3,3,3,9,3,2,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,220,165,200,120,152,300,230,160,116,126,210,108,534,114,160,200,200,120,90,1,1,0,1,1,0,2,0,2,4,6,7,2,2,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,180,165,220,200,120,114,300,230,320,116,126,280,108,267,114,160,200,200,120,90,1,1,0,1,1,0,3,0,2,5,3,8,2,2,2,5,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,385,150,120,114,300,230,240,116,126,280,162,445,114,240,200,200,120,90,1,1,0,1,1,0,2,0,2,4,4,10,2,2,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,165,150,160,114,300,230,160,174,126,210,108,267,114,240,300,200,120,90,1,1,0,1,1,0,2,0,2,3,5,9,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,180,110,165,250,120,114,500,230,400,174,252,210,108,267,114,240,200,200,120,90,1,1,0,1,1,0,4,1,2,4,3,8,2,2,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,180,110,220,200,160,114,300,460,160,116,126,210,108,356,114,160,200,300,120,90,1,1,0,1,1,0,2,0,2,5,3,7,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,220,150,240,114,300,230,160,116,126,350,162,445,114,160,200,200,120,90,1,1,0,1,1,0,2,0,2,3,3,7,2,3,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,165,250,120,228,500,230,320,116,126,350,108,267,114,320,400,200,120,90,1,1,0,1,1,0,2,0,2,3,3,8,2,3,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,165,330,150,160,114,300,230,160,116,189,210,108,267,114,160,200,400,120,90,1,1,0,1,1,0,2,0,2,3,7,8,2,3,2,5,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,165,150,120,190,300,230,240,116,315,210,108,267,114,160,300,300,120,90,1,1,0,1,1,0,3,0,3,3,3,9,2,2,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,400,300,110,165,200,160,114,300,345,160,116,126,210,108,267,114,160,300,200,120,90,1,1,0,1,1,0,2,0,2,3,5,7,2,2,3,5,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,275,150,160,114,300,345,320,116,126,280,108,267,171,160,200,200,120,90,1,1,0,1,1,0,3,0,2,3,3,7,2,3,3,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,165,165,200,240,114,300,230,160,116,126,210,162,267,114,160,300,200,120,90,1,1,0,1,1,0,2,0,2,4,3,9,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,400,180,220,275,250,160,114,300,230,240,232,189,210,108,267,114,160,300,200,120,90,1,1,0,1,1,0,3,0,2,4,3,8,2,2,3,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,480,180,110,165,150,160,114,600,230,160,116,126,210,108,267,114,240,200,300,120,90,1,1,0,1,1,0,4,0,2,3,3,9,2,3,3,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,165,250,120,114,400,345,240,116,126,280,108,356,114,240,400,400,120,90,1,1,0,1,1,0,2,0,2,4,3,7,2,3,2,5,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,165,150,120,190,400,230,240,116,126,280,108,267,171,160,200,200,120,90,1,1,0,1,1,0,2,0,2,3,3,8,2,2,4,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,165,165,150,160,114,300,460,240,116,252,210,108,356,114,400,300,200,120,90,1,1,0,1,1,0,2,0,3,3,5,8,2,2,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,165,150,160,114,500,230,160,116,378,210,108,267,114,160,300,300,120,90,1,1,0,1,1,0,2,0,3,4,4,8,2,2,3,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,180,110,165,200,160,114,300,230,160,116,189,420,162,267,114,240,200,200,120,90,1,1,0,1,1,0,3,0,2,5,5,9,2,4,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,220,200,160,114,300,230,160,116,126,280,108,267,114,320,200,500,120,90,1,1,0,1,1,0,2,0,3,3,3,8,2,2,3,6,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,480,300,165,165,150,120,114,400,230,160,116,189,210,108,267,114,240,400,200,120,90,1,1,0,1,1,0,2,0,2,3,3,7,2,3,4,5,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,480,180,110,220,150,120,114,500,230,160,116,126,280,108,267,171,160,200,200,120,90,1,1,0,1,1,0,2,0,2,3,3,9,2,3,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,165,165,150,160,190,600,230,240,174,189,210,108,445,114,160,200,300,120,90,1,1,0,1,1,0,2,0,3,4,5,8,2,2,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,240,165,275,200,120,114,600,230,160,116,315,210,108,356,171,160,400,200,120,90,1,1,0,1,1,0,4,0,2,3,3,7,2,2,2,5,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,240,110,385,250,120,152,300,230,160,116,315,210,108,267,114,160,300,200,120,90,1,1,0,1,1,0,3,0,2,3,4,7,3,4,5,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,220,165,250,160,114,300,230,160,116,189,210,108,267,114,160,200,300,120,90,1,1,0,1,1,0,2,0,2,3,3,8,3,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,480,240,110,440,250,120,152,400,230,240,116,126,280,108,267,114,160,200,300,120,90,1,1,0,1,1,0,3,0,3,3,3,8,2,2,4,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,165,200,120,228,600,345,240,116,126,560,108,267,114,240,300,200,120,90,1,1,0,1,1,0,2,0,2,4,3,8,2,3,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,330,150,200,114,400,230,320,116,126,350,108,267,114,240,200,300,120,90,1,1,0,1,1,0,2,0,3,4,3,8,3,3,3,6,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,240,220,165,200,160,114,300,230,160,116,126,280,162,267,114,160,200,200,120,90,1,1,0,1,1,0,2,0,3,5,3,7,2,3,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,165,165,150,120,152,400,345,240,116,189,210,108,356,114,320,200,300,120,90,1,1,0,1,1,0,2,0,2,3,5,13,2,2,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,220,220,250,120,114,300,230,160,116,189,210,108,356,114,160,200,200,120,90,1,1,0,1,1,0,2,0,2,3,3,7,2,2,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,330,200,120,152,300,345,240,116,126,210,108,356,114,160,200,200,120,90,1,1,0,1,1,0,3,0,2,3,4,10,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,165,440,200,120,152,300,230,160,116,189,280,108,356,171,320,200,200,120,90,1,1,0,1,1,0,3,0,4,6,3,9,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,220,150,120,152,600,230,160,232,189,210,108,356,114,320,300,200,120,90,1,1,0,1,1,0,2,0,2,3,5,9,2,2,2,5,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,165,200,120,190,300,345,160,116,126,280,108,267,114,240,200,200,120,90,1,1,0,1,1,0,2,0,3,8,5,9,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,360,110,165,200,120,152,300,690,240,116,189,280,108,356,114,240,200,300,120,90,1,1,0,1,1,0,4,0,2,4,4,8,2,2,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,165,200,160,228,300,230,240,116,189,280,108,445,342,160,200,200,120,90,1,1,0,1,1,0,2,0,2,4,3,9,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,165,150,120,152,300,345,160,116,126,280,108,356,114,160,300,200,120,90,1,1,0,1,1,0,2,0,2,4,3,7,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,240,110,165,200,160,152,500,230,240,174,189,280,162,445,114,160,200,500,120,90,1,1,0,1,1,0,4,0,2,3,4,9,2,3,3,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,220,150,200,190,400,230,320,116,189,210,108,534,114,160,200,200,120,90,1,1,0,1,1,0,4,0,2,3,3,10,3,2,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,480,360,110,275,150,120,152,300,460,240,116,126,280,108,356,114,160,200,300,120,90,1,1,0,1,1,0,3,0,2,6,4,9,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,300,110,275,200,120,114,300,230,160,116,252,210,108,267,114,160,200,200,120,90,1,1,0,1,1,0,4,0,2,3,3,9,2,2,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,300,110,220,250,160,114,300,230,160,116,126,210,108,445,114,160,200,500,120,90,1,1,0,1,1,0,2,0,2,4,3,7,2,2,3,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,165,150,120,152,300,230,160,116,126,350,108,267,114,160,200,400,120,90,1,1,0,1,1,0,3,0,2,4,3,9,2,5,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,300,220,165,200,120,114,300,345,160,116,126,280,108,445,114,160,200,300,120,90,1,1,0,1,1,0,2,0,2,3,5,8,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,480,180,165,275,250,120,114,300,230,160,174,315,210,108,267,114,160,200,200,120,90,1,1,0,1,1,0,3,0,2,4,4,7,2,3,2,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,480,180,110,220,200,280,114,300,230,160,116,126,210,108,445,171,240,300,200,120,90,1,1,0,1,1,0,2,0,2,3,5,9,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,220,150,280,190,700,230,240,116,252,350,108,267,114,160,300,200,120,90,1,1,0,1,1,0,6,0,2,3,3,9,3,3,3,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,165,150,200,114,300,345,160,116,189,280,108,445,114,160,200,200,120,90,1,1,0,1,1,0,2,0,2,4,6,8,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,480,110,165,150,240,152,300,230,160,116,126,210,162,267,114,240,300,400,120,90,1,1,0,1,1,0,2,0,2,6,5,8,2,2,3,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,165,150,120,114,300,345,160,116,189,280,108,267,171,320,300,300,120,90,1,1,0,1,1,0,2,0,2,4,3,9,2,3,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,165,300,120,114,500,230,320,174,126,210,108,356,114,240,200,400,120,90,1,1,0,1,1,0,3,0,2,5,3,10,2,3,2,5,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,240,110,220,250,120,114,300,230,160,116,126,280,108,356,114,160,200,300,120,90,1,1,0,1,1,0,2,1,2,3,3,8,2,2,6,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,180,110,165,150,120,152,600,230,160,116,126,280,108,356,171,240,300,200,120,90,1,1,0,1,1,0,2,0,2,3,3,9,2,4,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,275,150,120,114,300,345,160,116,126,210,108,534,114,320,200,200,120,90,1,1,0,1,1,0,2,0,4,3,3,7,3,2,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,400,300,165,165,250,120,114,300,345,160,116,189,210,108,356,171,240,500,200,120,90,1,1,0,1,1,0,2,0,2,3,3,9,2,3,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,165,220,200,120,190,300,230,240,116,126,210,108,356,114,160,200,200,120,90,1,1,0,1,1,0,3,0,3,4,6,8,3,3,3,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,220,165,200,160,266,400,345,160,116,189,280,108,445,114,160,200,200,120,90,1,1,0,1,1,0,2,0,2,6,5,7,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,400,180,220,165,150,320,114,400,345,240,116,189,420,108,801,114,160,300,400,120,90,1,1,0,1,1,0,3,0,2,5,4,9,3,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,320,180,165,165,150,120,114,300,460,160,116,126,210,108,267,114,160,200,300,120,90,1,1,0,1,1,0,3,1,2,3,3,9,2,2,2,5,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,165,200,120,152,400,230,240,116,189,210,108,356,114,160,300,200,120,90,1,1,0,1,1,0,2,0,2,5,4,8,2,2,2,5,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,300,110,165,150,160,152,500,345,160,116,126,350,108,267,114,320,300,200,120,90,1,1,0,1,1,0,2,0,2,5,4,9,2,2,4,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,110,165,150,120,114,300,230,160,116,126,210,108,267,114,160,200,200,120,90,1,1,0,1,1,0,3,0,2,3,3,8,2,2,7,4,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,240,165,165,150,120,114,300,230,320,116,126,350,162,712,114,160,200,300,120,90,1,1,0,1,1,0,2,0,2,3,7,9,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,240,180,110,330,150,160,152,300,230,160,116,189,210,108,356,114,160,300,300,120,90,1,1,0,1,1,0,2,0,2,3,3,9,2,2,2,3,1,0
96,170,192,96,192,60,85,65,122,170,110,110,150,60,126,202,140,85,60,400,240,110,275,200,200,152,700,230,160,116,252,210,108,356,114,560,200,200,120,90,1,1,0,1,1,0,3,0,2,3,3,8,4,2,3,4,1,0
